name,id,services,city,province,city.area,city.lat,city.long,city.pop,citytype,address,hosp_lat,hosp_long
Alberta Children's Hospital,ach,emergency,Calgary,Alberta,826,51.05,-114.0667,"1,306,784",urban,"28 Oki Drive NW, Calgary, Alberta, T3B 6A8",51.0747591,-114.1468334
Foothills Medical Centre,fmc,emergency,Calgary,Alberta,826,51.05,-114.0667,"1,306,784",urban,"1403 29 Street NW, Calgary, Alberta, T2N 2T9",51.064657,-114.130926
Peter Lougheed Centre,plc,emergency,Calgary,Alberta,826,51.05,-114.0667,"1,306,784",urban,"3500 26 Avenue NE, Calgary, Alberta, T1Y 6J4",51.0789144,-113.9846106
Rockyview General Hospital,rgh,emergency,Calgary,Alberta,826,51.05,-114.0667,"1,306,784",urban,"7007 14 Street SW, Calgary, Alberta, T2V 1P9",50.9900558,-114.09707702684253
South Health Campus,shc,emergency,Calgary,Alberta,826,51.05,-114.0667,"1,306,784",urban,"4448 Front Street SE, Calgary, Alberta, T3M 1M4",50.880825,-113.95272
Sheldon M. Chumir Centre,smcc,urgentcare,Calgary,Alberta,826,51.05,-114.0667,"1,306,784",urban,"1213 4 Street SW, Calgary, Alberta, T2R 0X7",51.04116535,-114.0721785791019
South Calgary Health Centre,schc,urgentcare,Calgary,Alberta,826,51.05,-114.0667,"1,306,784",urban,"31 Sunpark Plaza SE, Calgary, Alberta, T2X 3W5",50.902701,-114.058634
Airdrie Community Health Centre,achc,urgentcare,Airdrie,Alberta,33,51.2917,-114.014,"74,100",peri,"604 Main Street S, Airdrie, Alberta, T4B 3K7",51.2871094,-114.0134299
Cochrane Community Health Centre,cchc,urgentcare,Cochrane,Alberta,30,51.189,-114.467,"32,199",peri,"60 Grande Boulevard, Cochrane, Alberta, T4C 0S4",51.184675999999996,-114.4738215
Okotoks Health and Wellness Centre,ohwc,urgentcare,Okotoks,Alberta,20,50.725,-113.975,"30,405",peri,"11 Cimarron Common, Okotoks, Alberta, T1S 2E9",50.707517800000005,-113.9735785300802
Devon General Hospital,dgh,emergency,Devon,Alberta,14,53.3633,-113.7322,"6,545",rural,"101 Erie Street S, Devon, Alberta, T9G 1A6",53.352265,-113.728288
Grey Nuns Community Hospital,gnch,emergency,Edmonton,Alberta,768,53.5333,-113.5,"1,010,899",urban,"1100 Youville Drive NW, Edmonton, Alberta, T6L 5X8",53.46157845,-113.42967363459326
Misericordia Community Hospital,mch,emergency,Edmonton,Alberta,768,53.5333,-113.5,"1,010,899",urban,"16940 87 Avenue, Edmonton, Alberta, T5R 4H5",53.52123585,-113.6122311980354
Royal Alexandra Hospital,rah,emergency,Edmonton,Alberta,768,53.5333,-113.5,"1,010,899",urban,"10240 Kingsway NW, Edmonton, Alberta, T5H 3V9",53.55685685,-113.49689563358508
Strathcona Community Hospital,schc,emergency,Sherwood Park,Alberta,71,53.5233,-113.3089,"68,782",peri,"9000 Emerald Drive, Sherwood Park, Alberta, T8H 0J3",53.56816,-113.27673252791878
University of Alberta Hospital,uah,emergency,Edmonton,Alberta,768,53.5333,-113.5,"1,010,899",urban,"8440 112 Street NW, Edmonton, Alberta, T6G 2B7",53.52065665,-113.52103868571429
Fort Sask Community Hospital,fsch,emergency,Fort Saskatchewan,Alberta,48,53.7128,-113.2131,"27,088",rural,"9401 86 Avenue, Fort Saskatchewan, Alberta, T8L 0C6",53.693175,-113.213436
Leduc Community Hospital,lch,emergency,Leduc,Alberta,42,53.2594,-113.549,"34,094",peri,"4210 48 Street, Leduc, Alberta, T9E 5Z3",53.25512965,-113.54603618108558
Northeast Community Health Centre,nchc,emergency,Edmonton,Alberta,768,53.5333,-113.5,"1,010,899",urban,"14007 50 Street NW, Edmonton, Alberta, T5A 5E4",53.604308,-113.417595
Stollery Children's Hospital,stollery,emergency,Edmonton,Alberta,768,53.5333,-113.5,"1,010,899",urban,"8440 112 Street, Edmonton, Alberta, T6G 2B7",53.52065665,-113.52103868571429
Sturgeon Community Hospital,sch,emergency,St. Albert,Alberta,48,53.6303,-113.6258,"68,232",peri,"201 Boudreau Road, St. Albert, Alberta, T8N 6C4",53.655272,-113.62588844110243
WestView Health Centre,whc,emergency,Stony Plain,Alberta,36,53.53,-114.006,"17,993",rural,"4405 South Park Drive, Stony Plain, Alberta, T7Z 2M7",53.538406,-113.978897
Chinook Regional Hospital,crh,emergency,Lethbridge,Alberta,122,49.6942,-112.8328,"98,406",peri,"960 19 Street S, Lethbridge, Alberta, T1J 1W5",49.68522055,-112.81620870069048
Medicine Hat Regional Hospital,mhrh,emergency,Medicine Hat,Alberta,112,50.0333,-110.6667,"63,271",peri,"666 5 Street SW, Medicine Hat, Alberta, T1A 4H6",50.03515935,-110.70323827271375
Red Deer Regional Hospital,rdrh,emergency,Red Deer,Alberta,105,52.2681,-113.8111,"100,844",urban,"3942 50A Avenue, Red Deer, Alberta, T4N 4E7",52.2606267,-113.81838681692109
Lacombe Hospital and Care Centre,lhcc,emergency,Lacombe,Alberta,21,52.4683,-113.737,"13,396",rural,"5430 47 Avenue, Lacombe, Alberta, T4L 1G8",52.46141725,-113.74056718851031
Innisfail Health Centre,ihc,emergency,Innisfail,Alberta,19,52.0333,-113.95,"7,985",rural,"5023 42 Street, Innisfail, Alberta, T4G 1A9",52.020008,-113.951336
